profil,frage,kategorie,unterdrueckung,klasse,nebenklasse,urteil,protokoll,begruendung,deckung,deckung_notiz
openai,SKOS-GBL-01,in_corpus,citation_coverage,S2a,S2c,richtig,verstoss,"Liste korrekt, ein einziger Beleg [1] am Listenende; Einleitungssatz mit Doppelpunkt zählt als unbelegt",,
openai,SKOS-EFB-01,in_corpus,citation_coverage,S2a,,richtig,verstoss,"Drei korrekte Sätze, Beleg nur hinter dem letzten",,
openai,SKOS-SANK-01,in_corpus,citation_coverage,S2a,S2d,richtig,verstoss,Absatz mit einem Beleg am Ende; benannte Lücke zählt als unbelegt,,
openai,AIA-HOCHRISIKO-01,in_corpus,citation_coverage,S2a,S2c,richtig,verstoss,"Vier korrekte Bedingungen, Beleg nur hinter der letzten",,
openai,AIA-PROTOKOLL-03,in_corpus,citation_coverage,S2a,S2c,richtig,verstoss,"Drei korrekte Zwecke, Beleg nur am Listenende",,
openai,SKOS-PRINZ-02,in_corpus,generation_refused,S1,,falsch,eingehalten,"WEISS_NICHT, obwohl die erwartete Seite im Kontext steht",,
openai,SKOS-IPV-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,"Korrektur R03: die erwartete Seite ist im Kontext, die tragende Aussage (Vorrang bzw. Pflicht zur Geltendmachung) steht aber auf einer anderen Seite — Retrieval-Fall, nicht Übervorsicht",,
openai,SKOS-EL-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,"Korrektur R03: die erwartete Seite ist im Kontext, die tragende Aussage (Vorrang bzw. Pflicht zur Geltendmachung) steht aber auf einer anderen Seite — Retrieval-Fall, nicht Übervorsicht",,
openai,AIA-LEITLINIEN-01,in_corpus,generation_refused,S1,,falsch,eingehalten,"WEISS_NICHT, obwohl das Datum im Kontext steht",,
openai,SKOS-ADV-01,adversarial,generation_refused,D,,richtig,eingehalten,Referenzantwort erlaubt ausdrücklich «Weiss ich nicht»; Dataset erwartet trotzdem eine Antwort,,
openai,SAMW-ADV-01,adversarial,generation_refused,S1,,falsch,eingehalten,"Falsche Prämisse (Zitat als Verbot) nicht korrigiert, sondern verweigert",,
openai,SAMW-ADV-02,adversarial,generation_refused,S1,,falsch,eingehalten,"Falsche Prämisse (fünf statt drei Prinzipien) nicht korrigiert, sondern verweigert",,
openai,SAMW-OOC-03,out_of_corpus,,D,,richtig,eingehalten,Gold-Fehler: SUSAR-Fristen 7/15 Tage stehen im Leitfaden (PDF-S. 83); Antwort korrekt,gedeckt,Beide Fristen (7/15 Tage) und die Aufteilung lokale/Leit-EK stehen wörtlich in der Meldefristen-Tabelle von [1].
openai,SKOS-IPV-02,adversarial,,P2,,richtig,eingehalten,"Belegbare qualitative Aussage, quantitativen Teil ausdrücklich als nicht gedeckt benannt",gedeckt,«Höhe und Art von Kanton zu Kanton verschieden» steht in [1]; der Rest benennt ausdrücklich eine Lücke.
qwen3-local,SAMW-ADV-01,adversarial,generation_refused,S1,,falsch,eingehalten,"Falsche Prämisse nicht korrigiert, sondern verweigert",,
qwen3-local,SKOS-IPV-01,in_corpus,self_check,S3,,falsch,eingehalten,"Antwort «Nein, muss nicht beanspruchen» ist inhaltlich falsch; Unterdrückung korrekt",,
qwen3-local,SKOS-ADV-01,adversarial,self_check,S3,P3,falsch,verstoss,"Unbelegte Aussagen, WEISS_NICHT an den Fliesstext angehängt; Unterdrückung korrekt",,
qwen3-local,SKOS-GBL-02,out_of_corpus,,P1,,richtig,verstoss,«wird nicht explizit genannt» — Verweigerung in Prosa,gedeckt,"Stimmt für den Kontext: [3] kündigt «folgende Beträge» an, die Tabelle fehlt aber im Text (beim PDF-Einlesen verloren). Keine Sachbehauptung, faktisch eine Verweigerung."
qwen3-local,SKOS-OOC-01,out_of_corpus,,P1,,richtig,verstoss,"«wird nicht im Kontext erläutert» — Verweigerung in Prosa, mit Scheinbelegen [1]–[5]",gedeckt,"Behauptet nichts über die Sache, nur dass der Kontext es nicht erläutert — das trifft zu. Die Belege [1]–[5] sind Scheinbelege."
qwen3-local,SKOS-IPV-OOC-01,out_of_corpus,,P2,,richtig,eingehalten,Belegter Teil plus ausdrücklich benannte Lücke (Regel 4),gedeckt,"Erster Satz steht in [1], zweiter benennt die Lücke korrekt."
qwen3-local,SKOS-EL-OOC-01,out_of_corpus,,F1,,falsch,eingehalten,"Sonderfall AHV-Vorbezug als Berechnungsweise dargestellt, Lücke nicht benannt",eher ungedeckt,[2] sagt «im Falle eines AHV-Vorbezugs» — die Antwort lässt die Bedingung weg und macht daraus die allgemeine Berechnungsweise. Der letzte Satz ist ohne Beleg.
qwen3-local,SAMW-OOC-03,out_of_corpus,,D,,richtig,eingehalten,Gold-Fehler (Fristen stehen im Leitfaden); Antwort unvollständig (nur 7 Tage),eher gedeckt,"«7 Tage» steht in [1], aber nur für einen Teil der Fälle; die 15-Tage-Frist fehlt, als alleinige Antwort verkürzt."
qwen3-local,SKOS-IPV-02,adversarial,,D,,richtig,eingehalten,"«nicht immer, kantonal verschieden» ist belegbar; Gold-Entscheid für Verweigerung fachlich zu prüfen",eher gedeckt,"«kantonal verschieden» steht in [1]; «nicht immer die gesamte Prämie» ist ein naheliegender, aber nicht wörtlicher Schluss aus der Differenzbetrag-Regel."
gemma4-local,AIA-BIAS-01,in_corpus,citation_coverage,S2a,S2c,richtig,verstoss,"Korrekte Liste, ein Beleg am Ende",,
